sku,codigo_fornecedor,descricao,ativo,marca,categoria
CP728,None,Laquila Capacetes,sim,laquila,capacetes
CP729,None,Laquila Capacetes,sim,laquila,capacetes
CP730,None,Laquila Capacetes,sim,laquila,capacetes
CP731,None,Laquila Capacetes,sim,laquila,capacetes
CP732,None,Laquila Capacetes,sim,laquila,capacetes
CP767,None,Laquila Capacetes,sim,laquila,capacetes
CP733,None,Laquila Capacetes,sim,laquila,capacetes
CP735,None,Laquila Capacetes,sim,laquila,capacetes
CP736,None,Laquila Capacetes,sim,laquila,capacetes
CP737,None,Laquila Capacetes,sim,laquila,capacetes
CP738,None,Laquila Capacetes,sim,laquila,capacetes
CP739,None,Laquila Capacetes,sim,laquila,capacetes
CP740,None,Laquila Capacetes,sim,laquila,capacetes
CP741,None,Laquila Capacetes,sim,laquila,capacetes
CP742,None,Laquila Capacetes,sim,laquila,capacetes
CP743,None,Laquila Capacetes,sim,laquila,capacetes
CP734,None,Laquila Capacetes,sim,laquila,capacetes
CP907,None,Laquila Capacetes,sim,laquila,capacetes
CP768,None,Laquila Capacetes,sim,laquila,capacetes
CP770,None,Laquila Capacetes,sim,laquila,capacetes
CP795,None,Laquila Capacetes,sim,laquila,capacetes
CP796,None,Laquila Capacetes,sim,laquila,capacetes
CP797,None,Laquila Capacetes,sim,laquila,capacetes
CP798,None,Laquila Capacetes,sim,laquila,capacetes
CP799,None,Laquila Capacetes,sim,laquila,capacetes
CP800,None,Laquila Capacetes,sim,laquila,capacetes
CP801,None,Laquila Capacetes,sim,laquila,capacetes
CP802,None,Laquila Capacetes,sim,laquila,capacetes
CP803,None,Laquila Capacetes,sim,laquila,capacetes
CP804,None,Laquila Capacetes,sim,laquila,capacetes
CP805,None,Laquila Capacetes,sim,laquila,capacetes
CP806,None,Laquila Capacetes,sim,laquila,capacetes
CP807,None,Laquila Capacetes,sim,laquila,capacetes
CP808,None,Laquila Capacetes,sim,laquila,capacetes
CP809,None,Laquila Capacetes,sim,laquila,capacetes
CP810,None,Laquila Capacetes,sim,laquila,capacetes
CP811,None,Laquila Capacetes,sim,laquila,capacetes
CP812,None,Laquila Capacetes,sim,laquila,capacetes
CP813,None,Laquila Capacetes,sim,laquila,capacetes
CP794,None,Laquila Capacetes,sim,laquila,capacetes
CP793,None,Laquila Capacetes,sim,laquila,capacetes
CP792,None,Laquila Capacetes,sim,laquila,capacetes
CP791,None,Laquila Capacetes,sim,laquila,capacetes
CP771,None,Laquila Capacetes,sim,laquila,capacetes
CP772,None,Laquila Capacetes,sim,laquila,capacetes
CP773,None,Laquila Capacetes,sim,laquila,capacetes
CP774,None,Laquila Capacetes,sim,laquila,capacetes
CP775,None,Laquila Capacetes,sim,laquila,capacetes
CP776,None,Laquila Capacetes,sim,laquila,capacetes
CP777,None,Laquila Capacetes,sim,laquila,capacetes
CP778,None,Laquila Capacetes,sim,laquila,capacetes
CP779,None,Laquila Capacetes,sim,laquila,capacetes
CP769,None,Laquila Capacetes,sim,laquila,capacetes
CP780,None,Laquila Capacetes,sim,laquila,capacetes
CP782,None,Laquila Capacetes,sim,laquila,capacetes
CP783,None,Laquila Capacetes,sim,laquila,capacetes
CP784,None,Laquila Capacetes,sim,laquila,capacetes
CP785,None,Laquila Capacetes,sim,laquila,capacetes
CP786,None,Laquila Capacetes,sim,laquila,capacetes
CP787,None,Laquila Capacetes,sim,laquila,capacetes
CP788,None,Laquila Capacetes,sim,laquila,capacetes
CP789,None,Laquila Capacetes,sim,laquila,capacetes
CP790,None,Laquila Capacetes,sim,laquila,capacetes
CP781,None,Laquila Capacetes,sim,laquila,capacetes
MR110,None,Laquila Anéis para pistão,sim,laquila,anéis para pistão
CP908,None,Laquila Capacetes,sim,laquila,capacetes
CP910,None,Laquila Capacetes,sim,laquila,capacetes
EC119,None,Laquila Escape,sim,laquila,escape
EC120,None,Laquila Escape,sim,laquila,escape
EC121,None,Laquila Escape,sim,laquila,escape
EC122,None,Laquila Escape,sim,laquila,escape
EC123,None,Laquila Escape,sim,laquila,escape
EC124,None,Laquila Escape,sim,laquila,escape
EC125,None,Laquila Escape,sim,laquila,escape
EC126,None,Laquila Escape,sim,laquila,escape
EC127,None,Laquila Escape,sim,laquila,escape
EC128,None,Laquila Escape,sim,laquila,escape
EC129,None,Laquila Escape,sim,laquila,escape
EL101,None,Laquila Eliminador de Rabeta,sim,laquila,eliminador de rabeta
