"SKU","ESTOQUE","ItmsGrpCod","GrupoItens","U_G2W_Subgrupo","Descr","FirmCode","FirmName","CodeBars","DEP_PRINCIPAL","NcmCode","U_G2W_FonteProd","FONTE","GRUPO_MATERIAS","CURVA","SuppCatNum"
AUVN015,2.000000,143,Autparts,"082",Vela de Ignição,8,NGK,,,"8511.10.00","2","2",2,C,LFR5AIX11
AUPV088,2.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVF15F
MT030,7.000000,136,VSR,"058",Manetes,17,VSR,MT030,,"8714.99.90","1","1",2,C,
MT028,17.000000,136,VSR,"058",Manetes,17,VSR,,,"8714.99.90","1","1",2,C,
AUVN014,1.000000,143,Autparts,"082",Vela de Ignição,8,NGK,,,"8511.10.00","2","2",2,C,BR8EIX
AUCN041,1.000000,143,Autparts,"078",Cabo de Ignição,8,NGK,,,"8544.30.00","5","5",1,C,STV24
AUPV014,1.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVT10T
AULM035,6.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,C,RHLM03
MTGV018,9.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7899751908603",,"8511.10.00","2","2",-1,C,GV7R08
AUFA154,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482546975",,"8512.20.11","5","5",1,C,"160782"
AULM036,3.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,C,RHRM03
AUFB070,1.000000,143,Autparts,"191",Filtro de óleo,5,Bosch,"4047025236225",,"8421.99.99","5","5",1,C,"986b00062"
AULM037,3.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,C,RJSM87
AULM038,3.000000,143,Autparts,"088",Lente,10,Metagal,,,"7009.10.00","0","0",-1,C,RJXM01
AUPV012,3.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVT14G
AUGB036,4.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751921633",,"8409.99.69","2","2",2,C,GI9231
HC001,0.000000,136,VSR,"116",Peso de Guidão,17,VSR,,,"8714.99.90","1","1",2,C,
MTGV020,9.000000,143,Autparts,"082",Vela de Ignição,25,Gauss,"7899751908719",,"8511.10.00","2","2",-1,C,GV7R10
JQ441,1.000000,136,VSR,"003",Jaquetas,18,Laquila,"7909201027751","04","6210.40.00","2","2",2,C,
AULC003,1.000000,143,Autparts,"049",Lanterna traseira,20,Pradolux,"7899127207361",,"8512.20.22","0","0",-1,C,PL05440057
AUPV013,1.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVT20
AULC004,4.000000,143,Autparts,"049",Lanterna traseira,20,Pradolux,"7899127238730",,"8512.20.22","0","0",-1,C,PL05241541
AUPD054,2.000000,143,Autparts,"282",Palheta Traseira,6,Dyna,,,"8512.90.00","0","0",1,C,"56"
AUPC047,1.000000,143,Autparts,"097",Pastilha Cerâmica,5,Bosch,"4047024698123",,"8708.30.19","2","2",2,A,F03B050183
AUPB013,27.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047025110266",,"8512.90.00","2","2",-1,A,"3397011593"
AUPV010,4.000000,143,Autparts,"282",Palheta Traseira,16,Vetor,,,"8512.90.00","2","2",2,C,PVT12N
AUPB012,7.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047025104098",,"8512.90.00","2","2",-1,C,"3397011629"
AUPA054,39.000000,143,Autparts,"073",Palheta,1,Auto Impact,"7899766790477",,"8512.90.00","2","2",2,A,PF16
AUPC013,0.000000,143,Autparts,"001",Nenhum,5,Bosch,,,"8708.30.19","2","2",2,C,SKU LIVRE
AUPB051,4.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047024026162",,"8512.90.00","2","2",1,C,"3397004912"
AUGA039,0.000000,143,Autparts,"001",Nenhum,25,Gauss,"7899751933223",,"9032.89.11","5","5",-1,B,GA970
AUBI026,3.000000,143,Autparts,"080",Bico Injetor,5,Bosch,"4047025185417",,"8409.91.90","5","5",1,C,"280156439"
AUGS020,1.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926294",,"9031.80.99","2","2",-1,C,GS2480
AUGS021,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751927024",,"9031.80.99","2","2",-1,C,GS2490
AUGS022,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751926300",,"9031.80.99","2","2",-1,C,GS2530
AUGB001,1.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7898252658444",,"8409.99.69","2","2",2,A,GI9001
AUGC055,2.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928243",,"8544.30.00","2","2",2,C,GC5076
AUGE071,0.000000,143,Autparts,"263",Eletroventilador,25,Gauss,"7899751928618",,"8414.59.90","2","2",-1,C,GE1076
AUGI031,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751909358",,"8511.30.20","2","2",-1,C,GC4004
AUGC056,1.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928298",,"8544.30.00","2","2",2,C,GC5081
AUGC057,2.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928304",,"8544.30.00","2","2",2,C,GC5082
AUGS188,0.000000,143,Autparts,"276",Sensor MAP,25,Gauss,"7899751917315",,"9026.20.90","3","3",-1,C,GI3012
AUGC059,1.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751928328",,"8544.30.00","2","2",2,C,GC5084
AUGS232,0.000000,143,Autparts,"280",Módulo de Ignição,25,Gauss,"7898252651452",,"9032.89.24","4","4",-1,C,GA2142
AUGE001,3.000000,143,Autparts,"263",Eletroventilador,25,Gauss,"7899751920056",,"8414.59.90","2","2",2,C,GE1004
AUGS469,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252651445",,"8504.40.21","5","5",-1,B,GA1501
AUGS587,0.000000,143,Autparts,"279",Placa de Diodos,25,Gauss,"7898252654187",,"8504.40.21","5","5",-1,C,GA1843
AUGI222,0.000000,143,Autparts,"113",Bobina de Ignição,25,Gauss,"7899751900409",,"8511.30.20","2","2",-1,B,GC4142
AUCB025,0.000000,143,Autparts,"078",Cabo de Ignição,5,Bosch,"7891009048468",,"8544.30.00","0","0",1,C,F00099C081
AUGS720,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751932196",,"9031.80.99","2","2",-1,C,GS2003
AUGZ006,12.000000,143,Autparts,"018",Buzina,25,Gauss,"7898541345208",,"8512.30.00","2","2",-1,C,GB1016
AUGS721,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751932387",,"9031.80.99","2","2",-1,B,GS2004
AUGZ007,2.000000,143,Autparts,"018",Buzina,25,Gauss,"7898541345178",,"8512.30.00","2","2",-1,C,GB1013
AUGS722,0.000000,143,Autparts,"272",Sensor ABS,25,Gauss,"7899751932462",,"9031.80.99","2","2",-1,B,GS2103
AUPB052,3.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047024699250",,"8512.90.00","2","2",1,B,"3397011430"
AUGB072,0.000000,143,Autparts,"080",Bico Injetor,25,Gauss,"7899751921671",,"8409.99.69","2","2",-1,A,GI9034
AUFA149,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482546388",,"8512.20.11","5","5",1,C,"160763"
MTGE065,0.000000,143,Autparts,"186",Estator,25,Gauss,"7899751928861",,"8511.90.00","2","2",-1,C,GM16007
AUFA001,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482545220",,"8512.20.11","5","5",1,A,"160754"
MT557,0.000000,136,VSR,"058",Manetes,18,Laquila,"7909201000686","04","8714.10.00","2","2",2,C,
CI149,0.000000,136,VSR,"021",Conjunto Interruptor,18,Laquila,"7899248175112","04","8536.50.90","2","2",2,C,
AUFA002,0.000000,143,Autparts,"035",Farol,14,Arteb,"7896482545213",,"8512.20.11","5","5",1,A,"160753"
MT558,0.000000,136,VSR,"058",Manetes,18,Laquila,"7909201000693","04","8714.10.00","2","2",2,C,
AL101,0.000000,136,VSR,"124",Apoio de mão,18,Laquila,"7899248183681","04","8714.10.00","2","2",2,C,
MT559,0.000000,136,VSR,"058",Manetes,18,Laquila,"7909201000716","04","8714.10.00","2","2",2,C,
AL102,0.000000,136,VSR,"120",Acelerador Rápido,18,Laquila,"7899248191501","04","8714.10.00","2","2",2,C,
EM181,0.000000,136,VSR,"174",Disco de embreagem,18,Laquila,"7899248168091","04","8714.10.00","2","2",2,C,
CP954,0.000000,136,VSR,"006",Capacetes,18,Laquila,"7909201033561","04","6506.10.00","2","2",2,A,
EM182,0.000000,136,VSR,"174",Disco de embreagem,18,Laquila,"7899248168084","04","8714.10.00","2","2",2,C,
EM183,0.000000,136,VSR,"174",Disco de embreagem,18,Laquila,"7899248168107","04","8714.10.00","2","2",2,C,
AULO020,1.000000,143,Autparts,"207",Lâmpada do farol,4,Osram,,,"8539.21.10","2","2",2,A,"64210NL"
ES109,0.000000,136,VSR,"033",Espaçadores,18,Laquila,"7899248128262","04","8714.10.00","2","2",2,C,
EN142,0.000000,136,VSR,"180",Engrenagem principal,18,Laquila,"7899248170490","04","8409.91.90","2","2",2,C,
FE104,0.000000,136,VSR,"036",Ferramentas,18,Laquila,"7899248176409","04","8214.10.00","2","2",2,A,
FO135,0.000000,136,VSR,"038",Freio,18,Laquila,"7899248184961","04","8714.94.90","2","2",2,B,
FO136,0.000000,136,VSR,"038",Freio,18,Laquila,"7909201000426","04","8714.94.90","2","2",2,C,
FO111,0.000000,136,VSR,"160",Cilindro mestre,18,Laquila,"7899248179431","04","8714.10.00","2","2",2,C,
IG105,0.000000,136,VSR,"131",Bloqueador de chave,18,Laquila,"7899248138155","04","8714.10.00","2","2",2,C,
FO114,0.000000,136,VSR,"160",Cilindro mestre,18,Laquila,"7899248179462","04","8714.10.00","2","2",2,C,
LM119,0.000000,136,VSR,"207",Lâmpada do farol,18,Laquila,"8711500773593","04","8539.29.10","2","2",2,C,
FO110,0.000000,136,VSR,"160",Cilindro mestre,18,Laquila,"7899248179417","04","8714.10.00","2","2",2,C,
IG177,0.000000,136,VSR,"158",Chave de ignição,18,Laquila,"7899248122239","04","8511.80.90","2","2",2,C,
FO112,0.000000,136,VSR,"160",Cilindro mestre,18,Laquila,"7899248179448","04","8714.10.00","2","2",2,C,
MR753,0.000000,136,VSR,"176",Eixo Motor,18,Laquila,"7899248112575","04","8409.91.90","2","2",2,C,
PA110,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248167179","04","8714.10.00","2","2",2,C,
MR426,0.000000,136,VSR,"123",Anéis para pistão,18,Laquila,"7899248123816","04","8409.91.16","2","2",2,C,
RT517,0.000000,136,VSR,"068",Retrovisores,18,Laquila,"7909201024514","04","8714.10.00","2","2",2,C,
RT518,0.000000,136,VSR,"068",Retrovisores,18,Laquila,"7909201024583","04","8714.10.00","2","2",2,C,
RT519,0.000000,136,VSR,"068",Retrovisores,18,Laquila,"7909201024590","04","8714.10.00","2","2",2,C,
AUSB016,0.000000,143,Autparts,"112",Sonda Lambda,5,Bosch,"4047024654365",,"8543.20.00","2","2",2,A,"258017187"
RD130,0.000000,136,VSR,"065",Rodas,18,Laquila,"7899248188860","04","8714.10.00","2","2",2,C,
AUCN004,0.000000,143,Autparts,"078",Cabo de Ignição,8,NGK,,,"8544.30.00","5","5",1,C,SCG64
AUBI025,0.000000,143,Autparts,"080",Bico Injetor,5,Bosch,"3165143742891",,"8409.91.90","5","5",1,B,"280156018"
AUCN006,0.000000,143,Autparts,"078",Cabo de Ignição,8,NGK,,,"8544.30.00","0","0",1,C,STF27
AUCN008,0.000000,143,Autparts,"078",Cabo de Ignição,8,NGK,,,"8544.30.00","5","5",1,C,SCG73
PD112,0.000000,136,VSR,"266",Pedaleira,18,Laquila,"7899248181656","04","8714.10.00","2","2",2,C,
AURM094,0.000000,143,Autparts,"090",Retrovisor,10,Metagal,,,"7009.10.00","0","0",1,C,RFME97CE
AURM256,0.000000,143,Autparts,"090",Retrovisor,10,Metagal,,,"7009.10.00","0","0",1,C,RTYE69CR
AUPO041,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,"4047025400732",,"8708.30.19","0","0",1,C,"0986BB0974"
AUPO042,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,,,"8708.30.19","2","2",1,C,"0986BB0261"
AUBF001,19.000000,143,Autparts,"096",Oleo Lubrificante,5,Bosch,,,"3819.00.00","5","5",2,C,"204032343"
AUPO043,0.000000,143,Autparts,"084",Pastilha Orgânica,5,Bosch,"4047025400923",,"8708.30.19","0","0",1,C,"0986BB0988"
LC151,0.000000,136,VSR,"145",Cabo do acelerador,18,Laquila,"7899248120921","04","8714.10.00","2","2",2,C,
LC295,0.000000,136,VSR,"143",Cabo de freio,18,Laquila,"7899248161139","04","8714.10.00","2","2",2,C,
PM253,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248122574","04","8409.91.20","2","2",2,C,
