sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AUGI051","carro","Gauss Bobina de Ignição","25","113","GC4027","8511.30.20","8511.30.20"
"AUGI052","carro","Gauss Bobina de Ignição","25","113","GC4028","8511.30.20","8511.30.20"
"AUGI053","carro","Gauss Bobina de Ignição","25","113","GC4031","8511.30.20","8511.30.20"
"AUGI054","carro","Gauss Bobina de Ignição","25","113","GC4033","8511.30.20","8511.30.20"
"AUGI055","carro","Gauss Bobina de Ignição","25","113","GC4034","8511.30.20","8511.30.20"
"AUGI056","carro","Gauss Bobina de Ignição","25","113","GC4038","8511.30.20","8511.30.20"
"AUGI057","carro","Gauss Bobina de Ignição","25","113","GC4039","8511.30.20","8511.30.20"
"AUGI058","carro","Gauss Bobina de Ignição","25","113","GC4040","8511.30.20","8511.30.20"
"AUGI059","carro","Gauss Bobina de Ignição","25","113","GC4041","8511.30.20","8511.30.20"
"AUGI060","carro","Gauss Bobina de Ignição","25","113","GC4042","8511.30.20","8511.30.20"
"AUGI061","carro","Gauss Bobina de Ignição","25","113","GC4043","8511.30.20","8511.30.20"
"AUGI062","carro","Gauss Bobina de Ignição","25","113","GC4044","8511.30.20","8511.30.20"
"AUGI063","carro","Gauss Bobina de Ignição","25","113","GC4045","8511.30.20","8511.30.20"
"AUGI064","carro","Gauss Bobina de Ignição","25","113","GC4046","8511.30.20","8511.30.20"
"AUGI065","carro","Gauss Bobina de Ignição","25","113","GC4048","8511.30.20","8511.30.20"
"AUGI066","carro","Gauss Bobina de Ignição","25","113","GC4049","8511.30.20","8511.30.20"
"AUGI067","carro","Gauss Bobina de Ignição","25","113","GC4050","8511.30.20","8511.30.20"
"AUGI068","carro","Gauss Bobina de Ignição","25","113","GC4051","8511.30.20","8511.30.20"
"AUGI069","carro","Gauss Bobina de Ignição","25","113","GC4054","8511.30.20","8511.30.20"
"AUGI070","carro","Gauss Bobina de Ignição","25","113","GC4055","8511.30.20","8511.30.20"
"AUGI071","carro","Gauss Bobina de Ignição","25","113","GC4058","8511.30.20","8511.30.20"
"AUGI072","carro","Gauss Bobina de Ignição","25","113","GC4064","8511.30.20","8511.30.20"
"AUGI073","carro","Gauss Bobina de Ignição","25","113","GC4066","8511.30.20","8511.30.20"
"AUGI074","carro","Gauss Bobina de Ignição","25","113","GC4069","8511.30.20","8511.30.20"
"AUGI075","carro","Gauss Bobina de Ignição","25","113","GC4070","8511.30.20","8511.30.20"
"AUGI076","carro","Gauss Bobina de Ignição","25","113","GC4072","8511.30.20","8511.30.20"
"AUGI077","carro","Gauss Bobina de Ignição","25","113","GC4073","8511.30.20","8511.30.20"
