sku,bar_code,desc,tipo_de_veiculo,marca_id,cat_id
"AUGE093","7899751935470","Gauss Eletroventilador","carro","25","263"
"AUGE094","7899751935487","Gauss Eletroventilador","carro","25","263"
"AUGE095","7899751933124","Gauss Eletroventilador","carro","25","263"
"AUGE096","7899751932820","Gauss Eletroventilador","carro","25","263"
"AUGE097","7899751937610","Gauss Eletroventilador","carro","25","263"
"AUGE098","7899751929936","Gauss Eletroventilador","carro","25","263"
"AUGE099","7899751929943","Gauss Eletroventilador","carro","25","263"
"AUGE100","7899751936651","Gauss Eletroventilador","carro","25","263"
"AUGE101","7899751930512","Gauss Eletroventilador","carro","25","263"
"AUGE102","7899751930529","Gauss Eletroventilador","carro","25","263"
"AUGE103","7899751930178","Gauss Eletroventilador","carro","25","263"
"AUGE104","7899751930185","Gauss Eletroventilador","carro","25","263"
"AUGE105","7899751930192","Gauss Eletroventilador","carro","25","263"
"AUGE106","7899751930208","Gauss Eletroventilador","carro","25","263"
"AUGE107","7899751930536","Gauss Eletroventilador","carro","25","263"
"AUGE108","7899751930543","Gauss Eletroventilador","carro","25","263"
"AUGE109","7899751930215","Gauss Eletroventilador","carro","25","263"
"AUGE110","7899751930222","Gauss Eletroventilador","carro","25","263"
"AUGE111","7899751936705","Gauss Eletroventilador","carro","25","263"
"AUGE112","7899751936668","Gauss Eletroventilador","carro","25","263"
"AUGE113","7899751936699","Gauss Eletroventilador","carro","25","263"
"AUGF001","7898541349275","Gauss Ferramentas","carro","25","36"
"AUGF002","7899751906791","Gauss Ferramentas","carro","25","36"
"AUGF003","7898541341835","Gauss Ferramentas","carro","25","36"
"AUGF004","7898541349060","Gauss Ferramentas","carro","25","36"
"AUGF005","7898252652336","Gauss Ferramentas","carro","25","36"
"AUGF006","7898541349046","Gauss Ferramentas","carro","25","36"
"AUGF007","7898541349039","Gauss Ferramentas","carro","25","36"
"AUGF008","7898252651018","Gauss Ferramentas","carro","25","36"
"AUGF009","7898252657492","Gauss Ferramentas","carro","25","36"
"AUGI232","7899751932684","Gauss Bobina de Ignição","carro","25","113"
"AUGI233","7899751932547","Gauss Bobina de Ignição","carro","25","113"
"AUGI234","7899751932561","Gauss Bobina de Ignição","carro","25","113"
"AUGI235","7899751932554","Gauss Bobina de Ignição","carro","25","113"
"AUGL072","7899751918657","Gauss Lâmpadas","carro","25","50"
"AUGL073","7899751918695","Gauss Lâmpadas","carro","25","50"
"AUGL074","7899751918381","Gauss Lâmpadas","carro","25","50"
"AUGL075","7898252655665","Gauss Lâmpadas","carro","25","50"
"AUGL076","7899751927642","Gauss Lâmpadas","carro","25","50"
"AUGL077","7899751927734","Gauss Lâmpadas","carro","25","50"
"AUGL078","7899751916929","Gauss Lâmpadas","carro","25","50"
"AUGL079","7899751918473","Gauss Lâmpadas","carro","25","50"
"AUGL080","7899751916851","Gauss Lâmpadas","carro","25","50"
"AUGL081","7899751900478","Gauss Lâmpadas","carro","25","50"
"AUGL082","7899751900478","Gauss Lâmpadas","carro","25","50"
